,project_name,technology,status
1267,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
1274,Банки.ру,PHP,0
1281,Альфа-банк,JAVA,0
1284,Moovforge,REACT,0
1299,ANIXE,GO,0
1301,Ингосстрах-Инвестиции,IOS,0
1307,МТС Диджитал,NET,0
1309,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
1320,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
1350,ANIXE,BUSINESS_ANALYST,0
1356,МТС Диджитал,NET,0
1361,МТС Диджитал,NET,0
1364,МТС Диджитал,NET,0
1366,ABB Switzerland Ltd,NET,0
1373,ABB Switzerland Ltd,NET,0
1377,Манго телеком,NODE_JS,0
1393,Тинькофф Банк,IOS,0
1416,Moonfare,REACT,0
1421,Geta Digital,ANGULAR,0
1429,BSS Group,REACT,0
1442,JTI (Japan Tobacco International),DEVOPS,0
1443,Wayflyer Limited,PYTHON,0
1451,IHS,ANGULAR,0
1457,Exness,GRAPHIC_DESIGNER,0
1459,Exness,GRAPHIC_DESIGNER,0
1468,Сбер РБ - Домклик,SYSTEM_ANALYST,0
1471,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
1476,МТС Диджитал,SYSTEM_ANALYST,0
1482,МТС Диджитал,NET,0
1487,ITFB Group,IOS,0
1490,JTI (Japan Tobacco International),NET,0
1494,ABB Switzerland Ltd,REACT,0
1495,JTI (Japan Tobacco International),DEVOPS,0
1497,Банки.ру,JAVA,0
1498,Quincus,RUBY,0
1503,Тинькофф Банк,JAVA,0
1506,Global Shares Ireland Limited,NET,0
1518,Allianz Technology,DATA_ENGINEER_DBA,0
1527,Backbase,QA_AUTOMATION_ENGINEER_JAVA,0
1535,МТС Диджитал,NET,0
1537,Сбер РБ - Домклик,SYSTEM_ANALYST,0
1547,Backbase,IOS,0
1559,Банки.ру,PHP,0
1561,Madkhol,NODE_JS,0
1563,Самолёт Венчурс - Плафторма Самолёт+,NET,0
1564,Yara International,NET,0
1565,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
1568,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
1569,Bitmovin GmbH,ANDROID,0
1578,Global Shares Ireland Limited,QA_ENGINEER,0
1579,Madkhol,NODE_JS,0
1584,SupplyStack,NODE_JS,0
1593,Moovforge,PROJECT_MANAGEMENT,0
1597,Team Force,QA_AUTOMATION,0
1602,Тинькофф Банк,SYSTEM_ANALYST,0
1627,Ростелеком #2,REACT,0
